USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.5 185156  5132 ?        Ss    2019   1:27 /lib/systemd/systemd --system --deserialize 26
root         2  0.0  0.0      0     0 ?        S     2019   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S     2019   0:44 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<    2019   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S     2019   3:40 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S     2019   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S     2019   0:00 [migration/0]
root        10  0.0  0.0      0     0 ?        S     2019   0:39 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S     2019   0:00 [kdevtmpfs]
root        12  0.0  0.0      0     0 ?        S<    2019   0:00 [netns]
root        13  0.0  0.0      0     0 ?        S<    2019   0:00 [perf]
root        14  0.0  0.0      0     0 ?        S     2019   0:02 [khungtaskd]
root        15  0.0  0.0      0     0 ?        S<    2019   0:00 [writeback]
root        16  0.0  0.0      0     0 ?        SN    2019   0:00 [ksmd]
root        17  0.0  0.0      0     0 ?        SN    2019   0:00 [khugepaged]
root        18  0.0  0.0      0     0 ?        S<    2019   0:00 [crypto]
root        19  0.0  0.0      0     0 ?        S<    2019   0:00 [kintegrityd]
root        20  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        21  0.0  0.0      0     0 ?        S<    2019   0:00 [kblockd]
root        22  0.0  0.0      0     0 ?        S<    2019   0:00 [ata_sff]
root        23  0.0  0.0      0     0 ?        S<    2019   0:00 [md]
root        24  0.0  0.0      0     0 ?        S<    2019   0:00 [devfreq_wq]
root        28  0.0  0.0      0     0 ?        S     2019   0:03 [kswapd0]
root        29  0.0  0.0      0     0 ?        S<    2019   0:00 [vmstat]
root        30  0.0  0.0      0     0 ?        S     2019   0:00 [fsnotify_mark]
root        31  0.0  0.0      0     0 ?        S     2019   0:00 [ecryptfs-kthrea]
root        47  0.0  0.0      0     0 ?        S<    2019   0:00 [kthrotld]
root        48  0.0  0.0      0     0 ?        S<    2019   0:00 [acpi_thermal_pm]
root        49  0.0  0.0      0     0 ?        S     2019   0:00 [vballoon]
root        50  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        51  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
root        52  0.0  0.0      0     0 ?        S<    2019   0:00 [bioset]
